stateid,state_2001,dist01_census2001,district_2001_name,state_2026,current_districts_2026,reorg_events,status,notes,distid_ihds_internal_DO_NOT_JOIN_ON_THIS,distname_code_legacy
1,Jammu & Kashmir,2.0,Baramula,Jammu and Kashmir (Union Territory),Baramulla; Bandipora,2006 district creation; 2019 state-to-UT reorganization (Jammu and Kashmir split into two Union Territories -- J&K UT and Ladakh UT; this district is in J&K UT),CONFIRMED,,2,102.0
1,Jammu & Kashmir,3.0,Srinagar,Jammu and Kashmir (Union Territory),Srinagar; Ganderbal,2006 district creation; 2019 state-to-UT reorganization,CONFIRMED,,3,103.0
1,Jammu & Kashmir,5.0,Pulwama,Jammu and Kashmir (Union Territory),Pulwama; Shopian,2006/2007 district creation -- Shopian confirmed carved from Pulwama alone (district status granted March 2007); 2019 state-to-UT reorganization,CONFIRMED,"Verified this round via Shopian district's own official government website: it was a tehsil of Pulwama, not a joint Pulwama-Anantnag split as one earlier source suggested",5,105.0
1,Jammu & Kashmir,12.0,Rajauri,Jammu and Kashmir (Union Territory),Rajouri,No district split identified; 2019 state-to-UT reorganization only,CONFIRMED,,12,112.0
1,Jammu & Kashmir,13.0,Jammu,Jammu and Kashmir (Union Territory),Jammu; Samba,2006 district creation; 2019 state-to-UT reorganization,CONFIRMED,,13,113.0
2,Himachal Pradesh,1.0,Chamba,Himachal Pradesh,Chamba,"No change since 1972 reorganization -- confirmed via HP government's own figures publication (""no change in the administrative structure of HP"" since 1 Sept 1972) and multiple independent sources",CONFIRMED,"Verified this round: HP remains at 12 districts, stable since 1972. Some 2022 political proposals to split Mandi/Kangra remain unimplemented as of this check",1,201.0
2,Himachal Pradesh,2.0,Kangra,Himachal Pradesh,Kangra,"No change since 1972 reorganization -- confirmed via HP government's own figures publication (""no change in the administrative structure of HP"" since 1 Sept 1972) and multiple independent sources",CONFIRMED,"Verified this round: HP remains at 12 districts, stable since 1972. Some 2022 political proposals to split Mandi/Kangra remain unimplemented as of this check",2,202.0
2,Himachal Pradesh,4.0,Kullu,Himachal Pradesh,Kullu,"No change since 1972 reorganization -- confirmed via HP government's own figures publication (""no change in the administrative structure of HP"" since 1 Sept 1972) and multiple independent sources",CONFIRMED,"Verified this round: HP remains at 12 districts, stable since 1972. Some 2022 political proposals to split Mandi/Kangra remain unimplemented as of this check",4,204.0
2,Himachal Pradesh,5.0,Mandi,Himachal Pradesh,Mandi,"No change since 1972 reorganization -- confirmed via HP government's own figures publication (""no change in the administrative structure of HP"" since 1 Sept 1972) and multiple independent sources",CONFIRMED,"Verified this round: HP remains at 12 districts, stable since 1972. Some 2022 political proposals to split Mandi/Kangra remain unimplemented as of this check",5,205.0
2,Himachal Pradesh,6.0,Hamirpur,Himachal Pradesh,Hamirpur,"No change since 1972 reorganization -- confirmed via HP government's own figures publication (""no change in the administrative structure of HP"" since 1 Sept 1972) and multiple independent sources",CONFIRMED,"Verified this round: HP remains at 12 districts, stable since 1972. Some 2022 political proposals to split Mandi/Kangra remain unimplemented as of this check",6,206.0
2,Himachal Pradesh,8.0,Bilaspur,Himachal Pradesh,Bilaspur,"No change since 1972 reorganization -- confirmed via HP government's own figures publication (""no change in the administrative structure of HP"" since 1 Sept 1972) and multiple independent sources",CONFIRMED,"Verified this round: HP remains at 12 districts, stable since 1972. Some 2022 political proposals to split Mandi/Kangra remain unimplemented as of this check",8,208.0
2,Himachal Pradesh,9.0,Solan,Himachal Pradesh,Solan,"No change since 1972 reorganization -- confirmed via HP government's own figures publication (""no change in the administrative structure of HP"" since 1 Sept 1972) and multiple independent sources",CONFIRMED,"Verified this round: HP remains at 12 districts, stable since 1972. Some 2022 political proposals to split Mandi/Kangra remain unimplemented as of this check",9,209.0
